zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_10
1.0,0.8774695891267319,0.8584944599815578,0.8914141288225673,0.7078773943325475,0.7673737509267402,0.8041588707975907,0.8073837235979214,0.7507842622450467,0.6600893949444653
0.8774695891267319,1.0,0.9063879088625936,0.8862222373595184,0.8027732790095875,0.8299122990350005,0.8308541269663204,0.8083227629611869,0.7583429552227744,0.7204555027953722
0.8584944599815578,0.9063879088625936,1.0,0.9459633060880892,0.8688568018325102,0.9282664766876765,0.9249425900971602,0.888968317876321,0.8314255713940715,0.8139620657747384
0.8914141288225673,0.8862222373595184,0.9459633060880892,1.0,0.8238935915130036,0.8991595754754487,0.9374270802706954,0.9241817972813784,0.8621209283164981,0.7860740678398305
0.7078773943325475,0.8027732790095875,0.8688568018325102,0.8238935915130036,1.0,0.9185414241744796,0.8692472247553716,0.8231347877514656,0.8000322189584489,0.8970173033237908
0.7673737509267402,0.8299122990350005,0.9282664766876765,0.8991595754754487,0.9185414241744796,1.0,0.9468337583712323,0.8900329882255879,0.852079495076583,0.8940320352363174
0.8041588707975907,0.8308541269663204,0.9249425900971602,0.9374270802706954,0.8692472247553716,0.9468337583712323,1.0,0.9513018943242492,0.9006382540761096,0.8597489276745035
0.8073837235979214,0.8083227629611869,0.888968317876321,0.9241817972813784,0.8231347877514656,0.8900329882255879,0.9513018943242492,1.0,0.9302169634099476,0.8095044624451365
0.7507842622450467,0.7583429552227744,0.8314255713940715,0.8621209283164981,0.8000322189584489,0.852079495076583,0.9006382540761096,0.9302169634099476,1.0,0.8150440299783255
0.6600893949444653,0.7204555027953722,0.8139620657747384,0.7860740678398305,0.8970173033237908,0.8940320352363174,0.8597489276745035,0.8095044624451365,0.8150440299783255,1.0
